"Scope","Bucket","Path","Bytes","KB","Lines","Ext"
"archive/museum (plan-related)","archive/museum/p-track-cards-full","archive/museum/p-track-cards-full/P08-mesh-quality/P08-mesh-quality.md","25325","24.73","386",".md"
"archive/museum (plan-related)","archive/museum/p-track-cards-full","archive/museum/p-track-cards-full/P09-shortcuts-chrome/P09-shortcuts-chrome.md","26773","26.15","412",".md"
"archive/museum (plan-related)","archive/museum/p-track-cards-full","archive/museum/p-track-cards-full/P10-evidence-handover/P10-evidence-handover.md","19579","19.12","368",".md"
"archive/museum (plan-related)","archive/museum/s-track-archive","archive/museum/s-track-archive/S5-IMAGE-RESIDUAL.md","645","0.63","21",".md"
"archive/museum (plan-related)","archive/museum/s-track-archive","archive/museum/s-track-archive/S5-IMAGE-RESIDUAL-full.md","4567","4.46","97",".md"
"archive/museum (plan-related)","archive/museum/s-track-archive","archive/museum/s-track-archive/S6-PORTAL.md","271","0.26","6",".md"
"archive/museum (plan-related)","archive/museum/s-track-archive","archive/museum/s-track-archive/SUMMARY.md","785","0.77","14",".md"
"archive/Plans","archive/Plans","archive/Plans/DIFFERENCE-MATRIX.md","600","0.59","16",".md"
"archive/Plans","archive/Plans","archive/Plans/INDEX.md","17797","17.38","420",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/EXPERT-PASS.md","6246","6.1","87",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P01-product-truth/README.md","403","0.39","11",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P02-engine-lock/README.md","481","0.47","13",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P03-select-delete/README.md","546","0.53","14",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P04-orbit-continuity/README.md","451","0.44","12",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P05-symbols-svg/README.md","620","0.61","12",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P06-save-honesty/README.md","398","0.39","11",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P07-draw-place-journey/01-react-open3d.md","5740","5.61","65",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P07-draw-place-journey/04-playwright-evidence.md","6054","5.91","87",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P07-draw-place-journey/README.md","467","0.46","12",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P09-shortcuts-chrome/06-ui-shortcuts.md","3592","3.51","61",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P09-shortcuts-chrome/README.md","463","0.45","12",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P10-evidence-handover/P10-evidence-handover.md","19501","19.04","368",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P10-evidence-handover/P10-suggestions.md","3672","3.59","45",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/P10-evidence-handover/README.md","375","0.37","11",".md"
"archive/Plans","archive/Plans","archive/Plans/phases/README.md","2318","2.26","24",".md"
"archive/Plans","archive/Plans","archive/Plans/README.md","1676","1.64","57",".md"
"archive/Plans","archive/Plans","archive/Plans/Research/RESEARCH-MAP.md","14651","14.31","194",".md"
"archive/Plans","archive/Plans","archive/Plans/Research/RESEARCH-MAP-trustdata.md","14706","14.36","194",".md"
"archive/Plans","archive/Plans","archive/Plans/Research/RESULTS-MAP.md","18961","18.52","324",".md"
"archive/Plans","archive/Plans","archive/Plans/Research/STRUCTURE-ADVICE.md","19030","18.58","323",".md"
"archive/Plans","archive/Plans","archive/Plans/Research/STRUCTURE-ADVICE-2.md","18377","17.95","294",".md"
"archive/Plans","archive/Plans","archive/Plans/Research/STRUCTURE-REWRITE-NOTE.md","5491","5.36","123",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/plan/A2-svg-pipeline.md","1639","1.6","39",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/plan/BOARD.md","694","0.68","13",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/research/CANVAS_INVENTORY_UI_SVG.md","12927","12.62","296",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/research/svgedit-README.md","6719","6.56","156",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/research/SVG-ORA-Studio-README.md","3501","3.42","169",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/A1-admin-svg-publish.md","960","0.94","35",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/admin-current.md","1276","1.25","24",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/admin-proposed.md","2670","2.61","41",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/admin-svg-backend-README.md","635","0.62","13",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/from-museum-a-track/A1-admin-svg-publish.md","960","0.94","35",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/from-plans1-admin-svg/2026-07-10-global-standard-modules.md","34657","33.84","805",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/from-plans1-admin-svg/admin-current.md","1276","1.25","24",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/from-plans1-admin-svg/admin-proposed.md","2670","2.61","41",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/from-plans1-admin-svg/README.md","635","0.62","13",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/from-plans1-admin-svg/svg-pipeline-current.md","3501","3.42","57",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/from-plans1-admin-svg/svg-pipeline-proposed.md","2527","2.47","41",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/svg-pipeline-current.md","3501","3.42","57",".md"
"Plans (live)","Plans/Admin-track","Plans/Admin-track/module/supporting/svg-pipeline-proposed.md","2527","2.47","41",".md"
"Plans (live)","Plans/global-standard-revision","Plans/global-standard-revision/module/plan/03-QUALITY-BAR.md","2978","2.91","88",".md"
"Plans (live)","Plans (other)","Plans/INDEX.md","3512","3.43","59",".md"
"Plans (live)","Plans/Planner-track (root docs)","Plans/Planner-track/BOARD.md","3172","3.1","67",".md"
"Plans (live)","Plans/Planner-track (root docs)","Plans/Planner-track/CODE-REVIEWS.md","1598","1.56","18",".md"
"Plans (live)","Plans/Planner-track (root docs)","Plans/Planner-track/CONSTRAINTS.md","1298","1.27","26",".md"
"Plans (live)","Plans/Planner-track (root docs)","Plans/Planner-track/EXECUTE.md","1883","1.84","59",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/AGENT-RULES.md","1103","1.08","30",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/CHECKPOINTS.md","15046","14.69","164",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/CONSOLIDATION-2026-07-11.md","991","0.97","29",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/DIFFERENCE-MATRIX.md","600","0.59","16",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/EXPERT-PASS.md","6246","6.1","87",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/INDEX.md","17797","17.38","420",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/INDEX-archive-Plans.md","17797","17.38","420",".md"
"Plans (live)","Plans/Planner-track/library","Plans/Planner-track/library/from-archive-Plans/phases/EXPERT-PASS.md","6246","6.1","87",".md"
